Clothing ID,Age,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
767,33,4,1,0,Initmates,Intimate,Intimates
1080,34,5,1,4,General,Dresses,Dresses
1077,60,3,0,0,General,Dresses,Dresses
1049,50,5,1,0,General Petite,Bottoms,Pants
847,47,5,1,6,General,Tops,Blouses
1080,49,2,0,4,General,Dresses,Dresses
858,39,5,1,1,General Petite,Tops,Knits
858,39,4,1,4,General Petite,Tops,Knits
1077,24,5,1,0,General,Dresses,Dresses
1077,34,5,1,0,General,Dresses,Dresses
1077,53,3,0,14,General,Dresses,Dresses
1095,39,5,1,2,General Petite,Dresses,Dresses
1095,53,5,1,2,General Petite,Dresses,Dresses
767,44,5,1,0,Initmates,Intimate,Intimates
1077,50,3,1,1,General,Dresses,Dresses
1065,47,4,1,3,General,Bottoms,Pants
1065,34,3,1,2,General,Bottoms,Pants
853,41,5,1,0,General,Tops,Blouses
1120,32,5,1,0,General,Jackets,Outerwear
1077,47,5,1,0,General,Dresses,Dresses
847,33,4,1,2,General,Tops,Blouses
1080,55,4,1,14,General,Dresses,Dresses
1077,31,2,0,7,General,Dresses,Dresses
